City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Hobart,AU,66.22,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
Mecca,SA,76.12,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
Sao Filipe,CV,78.71,overcast clouds,14.8961,-24.4956,Hotel Xaguate
Calamar,CO,76.69,overcast clouds,10.2511,-74.9146,Hostal Katyalex
Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
Los Algarrobos,PA,77.41,few clouds,8.5,-82.4333,Waterfall Hostel
Mahanoro,MG,72.1,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Rikitea,PF,70.05,moderate rain,-23.1203,-134.9692,People ThankYou
Ahipara,NZ,67.37,clear sky,-35.1667,173.1667,Ahipara Holiday Park
Puerto Ayora,EC,69.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Atuona,PF,78.28,overcast clouds,-9.8,-139.0333,Villa Enata
Namibe,AO,69.3,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
Carnarvon,AU,67.5,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
Punta Cardon,VE,81.01,overcast clouds,11.6581,-70.215,Bambuda hotel
Langsa,ID,81.07,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
Tabou,CI,77.83,scattered clouds,4.423,-7.3528,hotêl doufoulougou
Santa Marta,CO,82.89,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
Santa Cruz,BO,76.46,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
Port Macquarie,AU,70.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
Nioro,GM,76.59,overcast clouds,13.35,-15.75, 
Victoria,HK,79.03,clear sky,22.2855,114.1577,Mini Central
Akonolinga,CM,65.89,overcast clouds,3.7667,12.25,Le Diamant De Mireille
Senanga,ZM,74.16,broken clouds,-16.1167,23.2667,Zango lodge
East London,ZA,65.26,overcast clouds,-33.0153,27.9116,Tu Casa
Monte Carmelo,BR,73.2,overcast clouds,-18.7247,-47.4986,Park hotel
Champerico,GT,81.39,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
Touros,BR,78.01,few clouds,-5.1989,-35.4608,INN NEW HORIZON
Nouakchott,MR,73.33,clear sky,18.0858,-15.9785,HOTEL IMAN
Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
New Norfolk,AU,65.88,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
Gamboula,CF,67.84,overcast clouds,4.1178,15.1393, 
Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
Kitgum,UG,65.32,moderate rain,3.2783,32.8867,Jaflo Gardens Hotel
Anori,BR,75.31,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
Kibala,TD,66.15,clear sky,9.1104,18.3463,Prasant Hotels
Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
Barabai,ID,80.51,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
Ferkessedougou,CI,68.86,clear sky,9.6,-5.2,Hotel Chateau
Butaritari,KI,80.92,broken clouds,3.0707,172.7902,Isles Sunset Lodge
Sambava,MG,71.31,light rain,-14.2667,50.1667,Melrose
Georgetown,MY,81.9,light rain,5.4112,100.3354,Cititel Penang
Airai,TL,77.0,scattered clouds,-8.9266,125.4092, 
Poya,NC,82.76,few clouds,-21.35,165.15, 
Faanui,PF,79.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Bom Jesus,BR,72.57,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
San Pedro,PH,85.32,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
Maputo,MZ,73.51,clear sky,-25.9653,32.5892,Pestana Rovuma
Batticaloa,LK,74.28,overcast clouds,7.7102,81.6924,Treatooo Hotel
Caravelas,BR,72.43,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
Waw,SS,72.3,clear sky,7.7029,27.9953,Universal Gab Hotel
Ilhabela,BR,69.76,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
Zhenhai,CN,74.08,few clouds,24.2582,118.0905,In Zhijian Guesthouse
Kalmunai,LK,73.96,overcast clouds,7.4167,81.8167,VS Villa
Anisoc,GQ,67.71,overcast clouds,1.8658,10.7689, 
Arraial Do Cabo,BR,71.22,clear sky,-22.9661,-42.0278,Pousada Porto Praia
Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
Ponta Do Sol,PT,68.72,few clouds,32.6667,-17.1,Hotel do Campo
Tutoia,BR,79.65,overcast clouds,-2.7619,-42.2744,Pousada Guará's
Bambanglipuro,ID,81.75,overcast clouds,-7.95,110.2833,Puri Brata
Bubaque,GW,83.26,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
Hithadhoo,MV,81.18,clear sky,-0.6,73.0833,Scoop Guest House
Beira,MZ,72.84,clear sky,-19.8436,34.8389,Beira Terrace Hotel
Phalombe,MW,67.3,few clouds,-15.8064,35.6507,RIVONIA
Palauig,PH,85.69,light rain,15.435,119.9045,Villa Raphael Resort
Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
Correntina,BR,69.19,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
Moundou,TD,70.93,overcast clouds,8.5667,16.0833,Planete Life
Manggar,ID,82.45,moderate rain,-2.8833,108.2667,Guest Hotel
