City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hobart,AU,-42.8794,147.3294,66.22,59,20,9.22,few clouds
Nikolskoye,RU,59.7035,30.7861,26.8,84,10,6.24,clear sky
Mecca,SA,21.4267,39.8261,76.12,72,0,3.58,clear sky
Sao Filipe,CV,14.8961,-24.4956,78.71,76,100,2.39,overcast clouds
Busselton,AU,-33.65,115.3333,53.89,68,87,20.94,overcast clouds
Abony,HU,47.1899,20.0048,47.12,97,100,6.91,overcast clouds
Hasaki,JP,35.7333,140.8333,63.28,55,92,10.92,overcast clouds
Nome,US,64.5011,-165.4064,35.67,93,100,11.5,light rain
Punta Arenas,CL,-53.15,-70.9167,50.11,57,20,17.27,few clouds
Ribeira Grande,PT,38.5167,-28.7,56.77,71,17,5.99,few clouds
Vestmannaeyjar,IS,63.4427,-20.2734,45.93,85,100,20.85,overcast clouds
Port Alfred,ZA,-33.5906,26.891,63.18,93,100,7.38,overcast clouds
Menongue,AO,-14.6585,17.691,63.34,81,9,4.38,clear sky
Tilichiki,RU,60.4667,166.1,6.94,93,43,6.51,scattered clouds
Orlik,RU,52.5178,99.825,-2.7,89,94,1.36,overcast clouds
Saint George,US,37.1041,-113.5841,48.79,35,0,0.0,clear sky
Calamar,CO,10.2511,-74.9146,76.69,93,98,4.68,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,73.35,81,75,13.0,broken clouds
Castro,BR,-24.7911,-50.0119,51.28,67,0,4.76,clear sky
Bluff,NZ,-46.6,168.3333,58.8,86,97,13.13,overcast clouds
Baykit,RU,61.67,96.37,-19.84,99,97,2.08,overcast clouds
Okha,RU,53.5739,142.9478,22.57,76,100,6.64,overcast clouds
Los Algarrobos,PA,8.5,-82.4333,77.41,94,20,3.44,few clouds
Kajaani,FI,64.2273,27.7285,23.05,93,100,3.44,overcast clouds
Ushuaia,AR,-54.8,-68.3,51.46,43,40,12.66,scattered clouds
Jamestown,US,42.097,-79.2353,31.01,75,100,18.41,overcast clouds
Mahanoro,MG,-19.9,48.8,72.1,93,100,5.86,overcast clouds
Kapaa,US,22.0752,-159.319,82.38,74,0,13.8,clear sky
Rikitea,PF,-23.1203,-134.9692,70.05,91,100,11.7,moderate rain
Ahipara,NZ,-35.1667,173.1667,67.37,68,0,12.28,clear sky
Albany,US,42.6001,-73.9662,34.57,66,62,1.01,broken clouds
Bethel,US,41.3712,-73.414,38.53,64,0,8.05,clear sky
Qaanaaq,GL,77.484,-69.3632,-16.22,71,4,7.31,clear sky
Sitka,US,57.0531,-135.33,39.09,81,0,0.0,clear sky
Kodiak,US,57.79,-152.4072,42.31,93,100,10.36,mist
Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,10,10.0,clear sky
Lebu,CL,-37.6167,-73.65,57.02,94,100,7.67,overcast clouds
Atuona,PF,-9.8,-139.0333,78.28,75,95,15.9,overcast clouds
Barrow,US,71.2906,-156.7887,28.42,86,0,14.97,clear sky
Yar-Sale,RU,66.8333,70.8333,14.23,82,70,21.12,broken clouds
Ostrovnoy,RU,68.0531,39.5131,37.22,74,100,15.01,overcast clouds
